"finding_id","subsystem","severity","title","locations","trigger","impact","confidence"
"DIR-004","Runtime Direction","Medium","Transient phase-style load failure is permanently latched","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:138-142;234-262","Temporarily fail style load, then restore same file/path within phase.","Intended style is never retried until phase/path changes.","High"
"DIR-005","Runtime Direction","Medium","Live-style and capture polling consume stamps before successful reads","SkullbonezSource/Runtime/Direction/LiveStyleController.cpp:267-300","Temporarily deny read, then restore without changing timestamp/size.","Valid style or screenshot command is ignored forever until file changes.","High"
"DIR-006","Runtime Direction","Medium","Oversized live-style paths invoke secure-CRT failure","SkullbonezSource/Runtime/Direction/LiveStyleController.cpp:47-65;227-245;298-309","Use 260+ byte directory or over-cap joined capture path.","Invalid-parameter handler can terminate process instead of returning false.","High"
"DIR-007","Runtime Direction","Medium","Look Lab validates receipt metadata after creating partial bundle","SkullbonezSource/Runtime/Direction/LookLabController.cpp:308-350; LookLabBundleWriter.cpp:194-203; CreateBundleDirectory.cpp:166-172","Save with invalid UTC offset, then retry corrected request with same timestamp/seed.","Orphaned partial bundle blocks corrected retry.","High"
"DIR-008","Runtime Direction","Low","Long loaded shot-list paths are truncated before Save","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:122-129;269-286;444-454","Load/edit/save through path longer than 259 bytes.","Save targets truncated nonexistent or unintended path.","High"
"DIR-009","Runtime Direction","Low","Look Lab timestamp accepts impossible calendar dates","SkullbonezSource/Runtime/Direction/LookLabBundleWriter.cpp:39-80; CreateBundleDirectory.cpp:143-166","Use dates such as 2026-02-31 or non-leap 2025-02-29.","Bundles/receipts claim invalid dates despite validated timestamp contract.","High"
"REPLAY-001","Runtime Replay","Medium","Replay restore omits recorded camera up vector","SkullbonezSource/Runtime/Replay/ReplayRestoreService.h:210-213; ReplayRecorder.h:99-104","Restore a replay camera sample with roll/up different from the live camera slot.","Eye/view restore but prior live up vector remains, producing wrong rolled orientation.","High"
"PRED-001","Runtime Prediction","Medium","Saving during pending publication erases visible child trajectories","SkullbonezSource/Runtime/Prediction/ReplayPredictionArchive.cpp:69-74;494-565; SkullbonezTests/TestReplayVisualPacket.cpp:1169-1175","Save while a committed child ordinal >=240 is still represented by a pending build bank.","Serializer zeros a still-visible child trajectory, so restored prediction loses data.","High"
"PRED-002","Runtime Prediction","Medium","Prediction archive can mix snapshot nodes with live future ragdoll visuals","SkullbonezSource/Runtime/Prediction/ReplayPredictionArchive.cpp:494-565","Save while live future ragdoll visuals change around snapshot publication.","Archive can contain incoherent node/visual generations and restore mismatched prediction presentation.","Medium-High"
"TOOL-001","Validation Tooling","Medium","Physics commit gate misses engine.cfg and hull inputs","tools/check_physics_commit_gate.py; AGENTS.md physics validation input rules","Change engine.cfg or a .hull asset without touching paths recognized by affects_physics.","Required physics validation may not trigger, and stale/untracked inputs can invalidate gate evidence.","High"
