"finding_id","subsystem","severity","title","locations","trigger","impact","confidence","fixed"
"DBG-004","Runtime Debug","Medium","Contact visualization grows uncapped linger cache during gameplay","SkullbonezSource/Runtime/Debug/PhysicsDebugVisualizer.h:77-78; PhysicsDebugVisualizer.cpp:606-623","Enable contacts with changing contact identities under allocation guard.","Repeated steady-gameplay allocations violate policy and grow transient memory.","High","No"
"DBG-005","Runtime Debug","Medium","Physics debug line staging reallocates with six bodies","SkullbonezSource/Runtime/Debug/PhysicsDebugVisualizer.cpp:176-182;237-321;626-669","Render Axes mode for six or more bodies under allocation guard.","Ordinary overlay exceeds reserve and allocates during Render phase.","High","No"
"DBG-006","Runtime Debug","Medium","Broadphase line staging covers only 200 of 2048 tracked cells","SkullbonezSource/Runtime/Debug/BroadphaseVisualizer.h:62;86; BroadphaseVisualizer.cpp:64-70;403-421","Render 201+ tracked cells under allocation guard.","Supported workload reallocates during guarded Render phase.","High","No"
"DIAG-001","Runtime Diagnostics","High","Unopenable perf log still enables perf-test scene control","SkullbonezSource/Runtime/Diagnostics/RuntimeDiagnostics.cpp:328-363; Runtime/App/RunFrame.cpp:1346-1352","Configure perfLog to an unopenable path and complete target frames.","No artifact is created, but scene reruns/advances and can exit successfully.","High","Yes"
"DIAG-002","Runtime Diagnostics","Medium","Scene memory totals omit most store allocations","SkullbonezSource/Runtime/Diagnostics/SceneMemoryDiagnostics.cpp:49-68; Physics/PhysicsBodyStore.cpp:1971-2002; Physics/ColliderStore.cpp:911-926","Inspect memory diagnostics for any non-empty scene.","Engine-owned memory is systematically underreported and hidden as unattributed process memory.","High","No"
"DIAG-003","Runtime Diagnostics","Medium","Perf CSV write and flush failures are silently successful","SkullbonezSource/Runtime/Diagnostics/RuntimeDiagnostics.cpp:49-65;224-231;282-305;407-440","Cause post-open write, flush, or close failure.","Run can exit successfully with missing/truncated performance evidence.","High","No"
"DIAG-004","Runtime Diagnostics","Medium","Main-memory dump reports success after partial write or close failure","SkullbonezSource/Runtime/Diagnostics/DiagnosticsRuntime.cpp:785-932","Cause post-open dump write or close failure.","Truncated invalid JSON is reported as successfully written.","High","No"
"DIAG-005","Runtime Diagnostics","Low","C-key overlay cycle clears independent terrain/pipeline layers","SkullbonezSource/Runtime/Diagnostics/DiagnosticsRuntime.cpp:467-495; DiagnosticsPhysicsUI.cpp:37-55","Enable terrain/pipeline layer, then press C.","Instead of preserving independent layer, the shortcut clears all debug layers.","High","No"
"DEV-001","Runtime DevelopmentTools","Medium","Retry after recoverable Start failure succeeds without renderer binding","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.cpp:304-309;385-392;780-783","Retry Start after initial BindContext failure on same owner.","Start reports success with null renderer; next visible frame fatals.","High","No"
"DEV-002","Runtime DevelopmentTools","Medium","First-build panel visibility automation is overwritten by default layout","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.cpp:565-572;970-1022;1504-1511","Apply SetPanelVisible before first dock layout is built.","Acknowledged automation command is silently lost.","High","No"
"DEV-003","Runtime DevelopmentTools","Medium","FocusPanel reports success when ImGui focused nothing","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.cpp:576-584;1517-1529;2735-2740; ThirdPtySource/imgui/imgui.cpp:13548-13554","Focus a never-created/default-hidden panel.","Automation focus counters report success while input remains on another window.","High","No"
"DEV-004","Runtime DevelopmentTools","Medium","Shutdown/restart preserves stale commands and lifecycle state","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.h:299-355; ImGuiEditorOwner.cpp:411-476;3157-3172","Generate a command, Shutdown before consume, then Start and consume.","Restarted editor can replay stale mutations and advertise old status.","High","No"
"DEV-005","Runtime DevelopmentTools","Low","Narrow resize produces impossible dock dimensions","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorLayoutPolicy.cpp:94-115; Runtime/App/Window.cpp:271-278","Resize normal client below 540 pixels.","Central viewport collapses and split fractions exceed valid range.","High","No"
"DEV-006","Runtime DevelopmentTools","Low","Closing Game Viewport does not stop per-frame GPU capture","SkullbonezSource/Runtime/UI/OperatorEditorFrameComposer.cpp:249-261; DevelopmentTools/ImGuiEditorOwner.cpp:615-627;1876-1882","Hide only Game Viewport while editor remains visible.","Unused full-client capture continues and can still fail the frame/app.","High","No"
"DIR-001","Runtime Direction","Medium","Shot-list loader accepts non-finite numbers and degenerate camera poses","SkullbonezSource/Runtime/Direction/DemoDirector.cpp:80-114;164-196; DemoDirectorPlayback.cpp:499-505","Load equal eye/view or values converting to float infinity.","Director can publish wrong/non-finite camera matrices or freeze phases.","High","No"
"DIR-002","Runtime Direction","Medium","Director blends opposite up vectors through zero","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:62-73;503-505; Maths/Matrix4.cpp:143-159","Blend valid poses with up vectors (0,1,0) and (0,-1,0).","Camera produces abrupt 180-degree roll at midpoint.","High","No"
"DIR-003","Runtime Direction","Low","Timer transitions discard elapsed-time overshoot","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:316-319;499-509","Tick a timer phase with dt exceeding its remaining duration.","Timeline timing becomes frame-cadence dependent and accumulates delay.","High","No"
"DIR-004","Runtime Direction","Medium","Transient phase-style load failure is permanently latched","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:138-142;234-262","Temporarily fail style load, then restore same file/path within phase.","Intended style is never retried until phase/path changes.","High","No"
"DIR-005","Runtime Direction","Medium","Live-style and capture polling consume stamps before successful reads","SkullbonezSource/Runtime/Direction/LiveStyleController.cpp:267-300","Temporarily deny read, then restore without changing timestamp/size.","Valid style or screenshot command is ignored forever until file changes.","High","No"
"DIR-006","Runtime Direction","Medium","Oversized live-style paths invoke secure-CRT failure","SkullbonezSource/Runtime/Direction/LiveStyleController.cpp:47-65;227-245;298-309","Use 260+ byte directory or over-cap joined capture path.","Invalid-parameter handler can terminate process instead of returning false.","High","No"
"DIR-007","Runtime Direction","Medium","Look Lab validates receipt metadata after creating partial bundle","SkullbonezSource/Runtime/Direction/LookLabController.cpp:308-350; LookLabBundleWriter.cpp:194-203; CreateBundleDirectory.cpp:166-172","Save with invalid UTC offset, then retry corrected request with same timestamp/seed.","Orphaned partial bundle blocks corrected retry.","High","No"
"DIR-008","Runtime Direction","Low","Long loaded shot-list paths are truncated before Save","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:122-129;269-286;444-454","Load/edit/save through path longer than 259 bytes.","Save targets truncated nonexistent or unintended path.","High","No"
"DIR-009","Runtime Direction","Low","Look Lab timestamp accepts impossible calendar dates","SkullbonezSource/Runtime/Direction/LookLabBundleWriter.cpp:39-80; CreateBundleDirectory.cpp:143-166","Use dates such as 2026-02-31 or non-leap 2025-02-29.","Bundles/receipts claim invalid dates despite validated timestamp contract.","High","No"
"REPLAY-001","Runtime Replay","Medium","Replay restore omits recorded camera up vector","SkullbonezSource/Runtime/Replay/ReplayRestoreService.h:210-213; ReplayRecorder.h:99-104","Restore a replay camera sample with roll/up different from the live camera slot.","Eye/view restore but prior live up vector remains, producing wrong rolled orientation.","High","No"
"PRED-001","Runtime Prediction","Medium","Saving during pending publication erases visible child trajectories","SkullbonezSource/Runtime/Prediction/ReplayPredictionArchive.cpp:69-74;494-565; SkullbonezTests/TestReplayVisualPacket.cpp:1169-1175","Save while a committed child ordinal >=240 is still represented by a pending build bank.","Serializer zeros a still-visible child trajectory, so restored prediction loses data.","High","No"
"PRED-002","Runtime Prediction","Medium","Prediction archive can mix snapshot nodes with live future ragdoll visuals","SkullbonezSource/Runtime/Prediction/ReplayPredictionArchive.cpp:494-565","Save while live future ragdoll visuals change around snapshot publication.","Archive can contain incoherent node/visual generations and restore mismatched prediction presentation.","Medium-High","No"
"TOOL-001","Validation Tooling","Medium","Physics commit gate misses engine.cfg and hull inputs","tools/check_physics_commit_gate.py; AGENTS.md physics validation input rules","Change engine.cfg or a .hull asset without touching paths recognized by affects_physics.","Required physics validation may not trigger, and stale/untracked inputs can invalidate gate evidence.","High","No"
"DX12-008","DX12 Backend","High","Shader uniform setters ignore reflected size and can overwrite constant-buffer storage","SkullbonezSource/Rendering/DX12/ShaderDX12.h:72-80; SkullbonezSource/Rendering/DX12/ShaderDX12.cpp:351-373;847-948","Update a reflected scalar or small vector through a larger setter after a caller or shader declaration changes type.","The memcpy can overwrite adjacent constants or run past m_cbData, causing corrupted draw constants, heap corruption, or a crash.","High","No"
"CORE-009","Core","Medium","Duplicate reserve-owner names silently alias incompatible allocation policies","SkullbonezSource/Core/Allocation/RuntimeReserveAllocator.cpp:386-449","Register a second owner with the same name but a different subsystem, phase, hard cap, growth permission, element size, or development-tool permission.","The second owner inherits the first registration's authority and accounting, so valid growth can be denied or a stronger cap or privilege can be applied to the wrong owner.","High","No"
"CORE-010","Core","Medium","Concurrent replay growth requests can exceed the registered growth-count limit","SkullbonezSource/Core/Allocation/RuntimeReserveAllocator.cpp:496-505","Submit simultaneous replay growth requests for one owner when only one permitted growth remains.","Both requests can observe the old count and be granted before either increment becomes visible, exceeding the owner-approved growth-count policy.","High","No"
"REPLAY-002","Runtime Replay","Medium","Interactive replay save performs cold heap growth under SteadyGameplay allocation phase","SkullbonezSource/Runtime/App/RunFrame.cpp:877-895; Runtime/App/ReplayScrubberTools.cpp:467-477;1971-1974;2156-2159; Runtime/App/ReplayRuntime.cpp:1759-1780; Runtime/Replay/ReplayV2Artifact.cpp:2551-2620;2743-2786","Save a replay from either scrubber control while the gameplay allocation guard is enabled.","The cold artifact writer allocates vectors, strings, chunks, and stream state without changing the inherited guarded phase, so a valid save can record gameplay allocation violations and fail strict validation.","High","No"
"CORE-011","Core","Low","Allocation callsite table conflates owners and can publish duplicate partial keys","SkullbonezSource/Core/Allocation/RuntimeAllocationTracker.cpp:270-313","Allocate from the same callsite and phase under multiple reserve owners, or hit an empty callsite slot concurrently.","Counts and bytes are aggregated under whichever owner wrote last; concurrent first publication can also create duplicate rows, weakening allocation diagnostics and exhausting the bounded callsite table early.","High","No"
"TOOL-002","Validation Tooling","Medium","Allocation-policy repository gate is out of sync with current source","tools/check_allocation_policy.py; tools/allocation_policy_allowlist.json; SkullbonezSource/Runtime/Automation/InteractionAutomationRecorder.cpp; Runtime/Replay/ReplayVisualPacket.h; Gameplay/TornadoGameplay.cpp","Run python tools/check_allocation_policy.py --repo . on the current branch.","The checker reports 33 unreviewed findings or stale allowlist entries, so the repository cannot currently produce clean allocation-policy evidence even though the checker's synthetic self-tests pass.","High","Yes"
"TOOL-003","Validation Tooling","Medium","Static allocation enforcement omits five engine source roots","tools/check_allocation_policy.py:50-59; AGENTS.md:737-775","Add runtime heap or STL growth code under Assets, Maths, Scene, UI, or World.","The global zero-allocation policy is not statically enforced in those roots; the current omitted trees contain 97 STL growth-call sites that receive no checker or allowlist review.","High","Yes"
